securityname,first_in_portfolio,issuer_type,weight,price: 20221231,price: 20220930,price: 20220630,price: 20220331,price: 20211231,held_directly_or_through,held_by_that_many_active_funds,held_by_that_many_passive_funds,held_by_that_many_brands,issuer,issueAmount,total_usd_issuer_debt_amount,mean_issuer_issue_size,issuer_issue_count,marketvalue,holdingpercOfDeal,issue_date,RegistrationType,holdingType,debtType,debtRankType,primarySector,mortgageType,cmoClassType,cmoType,collateralType,crt,original_coupon_rate,effectiveduration,effectivematurity,maturitydate,modifiedduration,numberofshares,ratinganalytics_ratinglevel,yieldtomaturity,last_reported_factor,last_reported_factor_as_of_date,cmooriginaldealamount,state,country_of_risk,currency,em_dev,NAICSClassification,industry,muniSecurityType,muniUseOfProceeds,GreenBondIndicator,green_bond_third_party,convertible_indicator,conditional_conversion_indicator,conversion_feature_type,convertible_initiator,conversion_option_type,conversion_timing_type,convert_frequency_type,cusip,isin,apexid,bucket
ERAC USA Finance Co. 5.625%,20180630,Corporation,0.45,95.05,90.73,100.54,117.43,135.16,held_directly,69,25,21,ERAC USA Finance Co.,," $1,650,000,000 "," $550,000,000 ", $3 ," $4,220,156.26 ",,2012-03-15,Exempt Issue,Bond - Corporate Bond,,,Industrials,,,,,NA,,11.30,19.21,2042-03-15,11.41," 4,440,044 ",BBB,6.1109,,,,MO,US,USD,DEV,All Other Business Support Services,Administrative and Support Services,,,,,NA,NA,,,,,,26884TAE2,US26884TAE29,9216493,bucket_21_50
"Prudential Financial, Inc. 6.625%",20180630,Corporation,0.18,108.86,106.22,117.83,129.63,144.77,held_directly,111,53,21,"Prudential Financial, Inc."," $750,000,000 "," $22,927,660,362 "," $440,916,545 ", $52 ," $1,665,547.44 ",0.2,2007-12-03,SEC Registered,Bond - Corporate Bond,Note,Senior,Financial Services,,,,,NA,6.625,9.62,14.92,2037-12-01,9.64," 1,529,999 ",A,5.7816,,,,NJ,US,USD,DEV,Direct Health and Medical Insurance Carriers,Insurance Carriers and Related Activities,,,,,No,NA,,,,,,74432QBD6,US74432QBD60,9371719,bucket_21_50
F N B Corp (Pennsylvania) 2.2%,20200331,Corporation,0.18,99.5,98.63,98.9,99.45,100.88,held_directly,67,3,21,F N B Corp (Pennsylvania),," $570,000,000 "," $190,000,000 ", $3 ," $1,671,696.51 ",,2020-02-24,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,0.15,0.15,2023-02-24,0.15," 1,680,033 ",BBB,5.5399,,,,PA,US,USD,DEV,Commercial Banking,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,30260NAA9,US30260NAA90,293372181,bucket_21_50
Lennox International Inc. 3%,20180630,Corporation,0.32,98.25,97.85,98.99,100.16,102.92,held_directly,36,14,23,Lennox International Inc.,,,,," $3,020,235.57 ",,2016-11-03,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,0.83,0.88,2023-11-15,0.85," 3,074,010 ",BBB,5.1061,,,,DE,US,USD,DEV,Motor and Generator Manufacturing,"Electrical Equipment, Appliance, and Component Manufacturing",,,,,NA,NA,,,,,,526107AD9,US526107AD92,110943570,bucket_21_50
Ardonagh Midco 2 Plc 11.5%,20200930,Corporation,0.05,90.1,99.48,99.24,103.98,106.46,High Yield Bond Portfolio,90,1,23,Ardonagh Midco 2 Plc,,,,," $447,637.00 ",,2020-07-14,Exempt Issue,Bond - Corporate Bond,,,Financial Services,,,,,NA,,,,2027-01-15,," 468,730 ",Below B,,,,,,GB,USD,DEV,Miscellaneous Intermediation,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",,,,,NA,NA,,,,,,03985RAA1,US03985RAA14,320143157,bucket_21_50
Exelon Corporation 4.1%,20221231,Corporation,0.43,80.44,,,,,held_directly,80,18,25,Exelon Corporation,,,,," $4,062,077.78 ",,2023-01-06,SEC Registered,Bond - Corporate Bond,,,Utilities,,,,,NA,,15.28,29.21,2052-03-15,15.37," 5,049,941 ",BBB,5.4893,,,,PA,US,USD,DEV,Other Electric Power Generation,Utilities,,,,,NA,NA,,,,,,30161NBH3,US30161NBH35,439944076,bucket_21_50
Corning Incorporated 4.75%,20180630,Corporation,0.13,89.46,86.37,93.74,108.46,125.82,held_directly,176,78,25,Corning Incorporated,," $350,000,000 "," $175,000,000 ", $2 ," $1,252,424.32 ",,2012-02-21,SEC Registered,Bond - Corporate Bond,,,Consumer Cyclical,,,,,NA,,11.95,19.21,2042-03-15,12.04," 1,400,022 ",BBB,5.698,,,,NY,US,USD,DEV,Other Pressed and Blown Glass and Glassware Manufacturing,Nonmetallic Mineral Product Manufacturing,,,,,NA,NA,,,,,,219350AW5,US219350AW53,7985486,bucket_21_50
Roper Technologies Inc 3.85%,20180630,Corporation,0.07,97.13,95.71,99.29,102.29,107.98,held_directly,146,72,25,Roper Technologies Inc,," $582,249,000 "," $582,249,000 ", $1 ," $660,505.07 ",,2015-12-07,SEC Registered,Bond - Corporate Bond,,,Technology,,,,,NA,,2.68,2.96,2025-12-15,2.75," 680,042 ",BBB,4.9461,,,,DE,US,USD,DEV,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial",Computer and Electronic Product Manufacturing,,,,,NA,NA,,,,,,776743AB2,US776743AB20,82099143,bucket_21_50
"Valmont Industries, Inc. 5.25%",20180630,Corporation,0.36,84.89,86.65,95.61,109.06,127.75,held_directly,144,65,26,"Valmont Industries, Inc.",,,,," $3,433,642.49 ",,2014-09-22,SEC Registered,Bond - Corporate Bond,,,Basic Materials,,,,,NA,,13.96,31.75,2054-10-01,14.04," 4,045,037 ",BBB,6.3785,,,,DE,US,USD,DEV,Fabricated Structural Metal Manufacturing,Fabricated Metal Product Manufacturing,,,,,NA,NA,,,,,,920253AE1,US920253AE15,52610047,bucket_21_50
"Duke Energy Indiana, LLC. 6.35%",20180630,Corporation,0.01,108.01,104.1,112.77,127.24,141.16,held_directly,166,65,26,"Duke Energy Indiana, LLC.",," $350,000,000 "," $350,000,000 ", $1 ," $108,034.49 ",,2008-08-21,SEC Registered,Bond - Corporate Bond,,,Utilities,,,,,NA,,9.87,15.62,2038-08-15,10.06," 100,022 ",A,5.6164,,,,IN,US,USD,DEV,Other Electric Power Generation,Utilities,,,,,NA,NA,,,,,,263901AA8,US263901AA85,9429122,bucket_21_50
Aflac Incorporated 2.875%,20180630,Corporation,0.31,93.23,93.23,96.16,100.02,105.3,held_directly,126,67,26,Aflac Incorporated,," $1,900,000,000 "," $633,333,333 ", $3 ," $2,890,064.42 ",,2016-09-19,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,3.47,3.79,2026-10-15,3.53," 3,099,958 ",A,4.8919,,,,GA,US,USD,DEV,Direct Health and Medical Insurance Carriers,Insurance Carriers and Related Activities,,,,,NA,NA,,,,,,001055AQ5,US001055AQ51,108020596,bucket_21_50
Textron Inc. 3.875%,20180630,Corporation,0.08,97.35,97.17,99.29,101.84,106.91,held_directly,138,55,26,Textron Inc.,,,,," $739,875.41 ",,2014-11-06,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,1.97,2.17,2025-03-01,2.05," 760,026 ",BBB,5.223,,,,DE,US,USD,DEV,Aircraft Manufacturing,Transportation Equipment Manufacturing,,,,,NA,NA,,,,,,883203BV2,US883203BV22,55177378,bucket_21_50
Textron Inc. 4.3%,20180630,Corporation,0.07,98.69,99.43,100.63,102.35,105.68,held_directly,126,55,26,Textron Inc.,,,,," $680,938.91 ",,2014-01-30,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,1.06,1.17,2024-03-01,1.12," 690,007 ",BBB,5.5158,,,,DE,US,USD,DEV,Aircraft Manufacturing,Transportation Equipment Manufacturing,,,,,NA,NA,,,,,,883203BU4,US883203BU49,36679850,bucket_21_50
Hubbell Incorporated 2.3%,20210331,Corporation,0.19,79.72,78.98,84.07,91.08,100.32,held_directly,134,73,27,Hubbell Incorporated,,,,," $1,761,756.78 ",,2021-03-12,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,7.14,8.21,2031-03-15,7.23," 2,210,021 ",BBB,5.4365,,,,CT,US,USD,DEV,All Other Miscellaneous Electrical Equipment and Component Manufacturing,"Electrical Equipment, Appliance, and Component Manufacturing",,,,,NA,NA,,,,,,443510AK8,US443510AK84,368672828,bucket_21_50
"Capital One, National Association 3.375%",20180630,Corporation,0.58,99.83,99.61,99.95,100.8,102.81,held_directly,45,10,27,"Capital One, National Association",,,,," $5,490,649.39 ",,2013-02-22,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,0.13,0.13,2023-02-15,0.13," 5,500,000 ",BBB,4.7229,,,,VA,US,USD,DEV,Commercial Banking,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,140420NB2,US140420NB24,11559746,bucket_21_50
Textron Inc. 3.9%,20190630,Corporation,0.16,90.81,88.65,94.21,101.88,110.55,held_directly,144,56,28,Textron Inc.,,,,," $1,507,468.95 ",,2019-05-07,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,5.65,6.72,2029-09-17,5.77," 1,660,043 ",BBB,5.6025,,,,DE,US,USD,DEV,Aircraft Manufacturing,Transportation Equipment Manufacturing,,,,,NA,NA,,,,,,883203CA7,US883203CA75,238802396,bucket_21_50
New York Life Insurance Co. 6.75%,20180630,Corporation,0.08,111.92,109.14,117.34,132.85,150.98,held_directly,40,22,29,New York Life Insurance Co.," $1,000,000,000 "," $3,000,000,000 "," $1,000,000,000 ", $3 ," $783,486.53 ",0.07,2009-10-08,Exempt Issue,Bond - Corporate Bond,Note,Subordinated,Financial Services,,,,,NA,6.75,10.36,16.88,2039-11-15,10.39," 700,020 ",AA,5.6898,,,,NY,US,USD,DEV,Direct Life Insurance Carriers,Insurance Carriers and Related Activities,,,,,No,NA,,,,,,64952GAF5,US64952GAF54,8451869,bucket_21_50
UDR Inc 3.1%,20191231,REIT,0.10,76.05,76.04,82.24,92.45,103.94,held_directly,147,57,29,UDR Inc,," $600,000,000 "," $300,000,000 ", $2 ," $931,537.29 ",,2019-10-11,SEC Registered,Bond - Corporate Bond,,,Real Estate,,,,,NA,,9.31,11.84,2034-11-01,9.38," 1,224,949 ",BBB,5.9941,,,,DC,US,USD,DEV,Lessors of Residential Buildings and Dwellings,Real Estate,,,,,NA,NA,,,,,,90265EAS9,US90265EAS90,265055596,bucket_21_50
"Verisk Analytics, Inc. 5.5%",20180630,Corporation,0.25,94.42,93.01,100.5,116.83,135.17,held_directly,180,83,30,"Verisk Analytics, Inc."," $350,000,000 "," $2,150,000,000 "," $537,500,000 ", $4 ," $2,351,027.20 ",0.71,2015-05-15,SEC Registered,Bond - Corporate Bond,Note,Senior,Technology,,,,,NA,5.5,12.52,22.46,2045-06-15,12.47," 2,489,957 ",BBB,5.9994,,,,DE,US,USD,DEV,"Data Processing, Hosting, and Related Services","Data Processing, Hosting, and Related Services",,,,,No,NA,,,,,,92345YAE6,US92345YAE68,67780732,bucket_21_50
NBCUniversal Media LLC 5.95%,20180630,Corporation,0.14,104.66,101.24,111.01,127.31,142.89,held_directly,152,54,30,NBCUniversal Media LLC,," $1,000,000,000 "," $1,000,000,000 ", $1 ," $1,308,238.98 ",,2011-08-19,SEC Registered,Bond - Corporate Bond,,,Consumer Cyclical,,,,,NA,,11.12,18.25,2041-04-01,11.21," 1,249,969 ",A,5.5859,,,,DE,US,USD,DEV,Radio Networks,Broadcasting (except Internet),,,,,NA,NA,,,,,,63946BAG5,US63946BAG59,9458071,bucket_21_50
Tanger Properties Limited Partnership 3.125%,20180630,REIT,0.18,90.95,89.67,94.02,96.17,103.49,held_directly,181,73,30,Tanger Properties Limited Partnership,," $800,000,000 "," $266,666,667 ", $3 ," $1,691,657.35 ",,2016-08-08,SEC Registered,Bond - Corporate Bond,,,Real Estate,,,,,NA,,3.33,3.67,2026-09-01,3.39," 1,859,979 ",BBB,5.9485,,,,NC,US,USD,DEV,Lessors of Residential Buildings and Dwellings,Real Estate,,,,,NA,NA,,,,,,875484AJ6,US875484AJ66,102128596,bucket_21_50
Ameren Corporation 3.65%,20180630,Corporation,0.10,95.62,95.05,98.22,101.36,106.41,held_directly,153,73,30,Ameren Corporation,,,,," $946,578.87 ",,2015-11-24,SEC Registered,Bond - Corporate Bond,,,Utilities,,,,,NA,,2.82,3.13,2026-02-15,2.90," 989,972 ",BBB,5.2339,,,,MO,US,USD,DEV,Other Electric Power Generation,Utilities,,,,,NA,NA,,,,,,023608AG7,US023608AG75,81278410,bucket_21_50
Jones Deslauriers Insurance Management Inc. 10.5%,20221231,Corporation,0.02,98.62,,,,,High Yield Bond Portfolio,124,3,31,Jones Deslauriers Insurance Management Inc.," $300,000,000 "," $600,000,000 "," $300,000,000 ", $2 ," $182,157.06 ",0.06,2022-12-15,Exempt Issue,Bond - Corporate Bond,Note,Senior,Financial Services,,,,,NA,10.5,4.35,7.96,2030-12-15,5.28," 184,715 ",Below B,10.7863,,,,ON,CA,USD,DEV,Insurance Agencies and Brokerages,Insurance Carriers and Related Activities,,,,,No,NA,,,,,,48020RAA3,US48020RAA32,491787263,bucket_21_50
"American Electric Power Co, Inc. 3.2%",20180630,Corporation,0.24,91.99,91.31,94.57,99.3,106.08,held_directly,154,52,31,"American Electric Power Co, Inc.",," $1,905,000,000 "," $635,000,000 ", $3 ," $2,299,847.99 ",,2017-11-13,SEC Registered,Bond - Corporate Bond,,,Utilities,,,,,NA,,4.35,4.87,2027-11-13,4.42," 2,500,045 ",BBB,5.1175,,,,OH,US,USD,DEV,Other Electric Power Generation,Utilities,,,,,NA,NA,,,,,,025537AJ0,US025537AJ08,146401976,bucket_21_50
Signal Parent Inc. 6.125%,20210331,Corporation,0.00,30.62,48.8,62.67,81.69,88.89,High Yield Bond Portfolio,64,10,31,Signal Parent Inc.,,,,," $44,659.62 ",,2021-04-01,Exempt Issue,Bond - Corporate Bond,,,Consumer Cyclical,,,,,NA,,3.49,6.25,2029-04-01,3.62," 145,827 ",Below B,34.3183,,,,DE,US,USD,DEV,New Multifamily Housing Construction (except For-Sale Builders),Construction of Buildings,,,,,NA,NA,,,,,,82666QAA3,US82666QAA31,372042671,bucket_21_50
Bacardi Limited 2.75%,20180630,Corporation,0.09,90.49,89.25,92.25,96.53,102.93,held_directly,69,21,31,Bacardi Limited," $500,000,000 "," $1,750,000,000 "," $583,333,333 ", $3 ," $886,790.96 ",0.2,2016-07-14,Exempt Issue,Bond - Corporate Bond,Note,Senior,Consumer Defensive,,,,,NA,2.75,3.23,3.54,2026-07-15,3.29," 979,948 ",BBB,5.8011,,,,,BM,USD,Bermuda/Caymans,Distilleries,Beverage and Tobacco Product Manufacturing,,,,,No,NA,,,,,,067316AD1,US067316AD11,100276339,bucket_21_50
The Cleveland Electric Illuminating Company 5.95%,20180630,Corporation,0.16,99.65,99.07,106.06,115.86,134.21,held_directly,205,77,33,The Cleveland Electric Illuminating Company," $300,000,000 "," $951,000,000 "," $237,750,000 ", $4 ," $1,524,591.76 ",0.51,2006-12-11,SEC Registered,Bond - Corporate Bond,Note,Senior,Utilities,,,,,NA,5.95,9.36,13.96,2036-12-15,9.37," 1,529,964 ",BBB,6.0349,,,,OH,US,USD,DEV,Other Electric Power Generation,Utilities,,,,,No,NA,,,,,,186108CE4,US186108CE42,7999631,bucket_21_50
"Ryder System, Inc. 2.9%",20191231,Corporation,0.32,91.31,89.61,93.28,97.14,104.22,held_directly,133,84,33,"Ryder System, Inc.",," $450,000,000 "," $450,000,000 ", $1 ," $2,990,247.01 ",,2019-11-14,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,3.59,3.92,2026-12-01,3.62," 3,274,958 ",BBB,5.4367,,,,FL,US,USD,DEV,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",Rental and Leasing Services,,,,,NA,NA,,,,,,78355HKP3,US78355HKP37,265018823,bucket_21_50
"Mid-America Apartments, L.P. 3.75%",20180630,Limited Partnership,0.21,97.98,97.85,99.72,101.43,105.37,held_directly,182,80,33,"Mid-America Apartments, L.P.",,,,," $1,959,662.34 ",,2014-06-13,SEC Registered,Bond - Corporate Bond,,,Real Estate,,,,,NA,,1.35,1.46,2024-06-15,1.40," 2,000,046 ",BBB,5.2465,,,,TN,US,USD,DEV,Lessors of Residential Buildings and Dwellings,Real Estate,,,,,NA,NA,,,,,,59523UAL1,US59523UAL17,47578830,bucket_21_50
Electricite de France SA 5.625%,20180630,Corporation,0.50,94.68,89.92,91.7,100.25,105.62,held_directly,55,20,33,Electricite de France SA,," $5,123,311,102 "," $1,280,827,775 ", $4 ," $4,733,840.38 ",,2014-01-22,Exempt Issue,Bond - Corporate Bond,,,Utilities,,,,,NA,,0.96,1.06,2049-12-29,0.96," 5,000,009 ",BB,11.2315,,,,,FR,USD,DEV,Other Electric Power Generation,Utilities,,,,,NA,NA,,,,,,268317AM6,US268317AM62,33241046,bucket_21_50
Occidental Petroleum Corporation 7.15%,20200630,Corporation,0.01,103.84,103.29,104.61,112.36,117.44,High Yield Bond Portfolio,69,2,34,Occidental Petroleum Corporation,," $10,995,000,000 "," $1,221,666,667 ", $9 ," $50,477.16 ",,2019-09-18,SEC Registered,Bond - Corporate Bond,,,Energy,,,,,NA,,4.37,5.37,2028-05-15,4.43," 48,609 ",BB,6.4778,,,,DE,US,USD,DEV,Crude Petroleum Extraction,Oil and Gas Extraction,,,,,NA,NA,,,,,,674599DR3,US674599DR39,257927002,bucket_21_50
"Exelon Generation Company, LLC 5.75%",20180630,Corporation,0.09,97.54,92.32,97.05,108.32,119.45,held_directly,198,68,35,"Exelon Generation Company, LLC",,,,," $877,898.46 ",,2010-09-30,SEC Registered,Bond - Corporate Bond,,,Utilities,,,,,NA,,11.20,18.75,2041-10-01,11.26," 900,019 ",BBB,6.0155,,,,PA,US,USD,DEV,Other Electric Power Generation,Utilities,,,,,NA,NA,,,,,,30161MAJ2,US30161MAJ27,8646866,bucket_21_50
John Deere Capital Corporation 3.9%,20220630,Corporation,0.36,93.67,91.91,98.95,,,held_directly,153,62,35,John Deere Capital Corporation,,,,," $3,442,345.80 ",,2022-06-06,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,7.68,9.44,2032-06-07,7.74," 3,675,047 ",A,4.784,,,,DE,US,USD,DEV,All Other Nondepository Credit Intermediation,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,24422EWH8,US24422EWH88,60162628,bucket_21_50
Lennox International Inc. 1.7%,20200930,Corporation,0.14,85.89,84.2,87.52,91.98,98.47,held_directly,129,56,35,Lennox International Inc.,,,,," $1,339,835.76 ",,2020-07-30,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,4.25,4.59,2027-08-01,4.30," 1,559,954 ",BBB,5.2438,,,,DE,US,USD,DEV,Motor and Generator Manufacturing,"Electrical Equipment, Appliance, and Component Manufacturing",,,,,NA,NA,,,,,,526107AF4,US526107AF41,325393669,bucket_21_50
"Summit Midstream Holdings, LLC / Summit Midstream Finance Corp. 5.75%",20180630,Corporation,0.01,85.07,81.53,78.46,81.88,89.6,High Yield Bond Portfolio,152,12,35,"Summit Midstream Holdings, LLC / Summit Midstream Finance Corp.",," $700,000,000 "," $700,000,000 ", $1 ," $140,600.38 ",,2017-02-15,SEC Registered,Bond - Corporate Bond,,,Energy,,,,,NA,,2.00,2.29,2025-04-15,2.03," 165,271 ",Below B,13.7756,,,,DE,US,USD,DEV,Pipeline Transportation of Natural Gas,Pipeline Transportation,,,,,NA,NA,,,,,,86614WAD8,US86614WAD83,120206974,bucket_21_50
Grupo Televisa S.A.B. 5%,20180630,Corporation,0.07,85.54,84.77,93.1,103.76,117.83,held_directly,186,83,36,Grupo Televisa S.A.B.,," $4,275,686,939 "," $475,076,327 ", $9 ," $671,478.80 ",,2014-05-13,SEC Registered,Bond - Corporate Bond,,,Consumer Cyclical,,,,,NA,,12.56,22.37,2045-05-13,12.56," 785,008 ",BBB,6.2229,,,,,MX,USD,EM,Television Broadcasting,Broadcasting (except Internet),,,,,NA,NA,,,,,,40049JBA4,US40049JBA43,43175755,bucket_21_50
Nationwide Mutual Insurance Co. 9.375%,20180630,Corporation,0.46,129.16,127.4,137.09,152.79,172.72,held_directly,78,21,36,Nationwide Mutual Insurance Co.,," $700,000,000 "," $350,000,000 ", $2 ," $4,391,289.70 ",,2009-08-10,Exempt Issue,Bond - Corporate Bond,,,Financial Services,,,,,NA,,9.13,16.62,2039-08-15,9.35," 3,399,980 ",A,6.5295,,,,OH,US,USD,DEV,Direct Property and Casualty Insurance Carriers,Insurance Carriers and Related Activities,,,,,NA,NA,,,,,,638671AK3,US638671AK35,9763808,bucket_21_50
State Street Corporation 4.421%,20220630,Corporation,0.25,94.93,92.43,98.71,,,held_directly,68,37,36,State Street Corporation," $500,000,000 "," $19,212,450,000 "," $662,498,276 ", $29 ," $2,358,879.09 ",0.5,2022-05-13,SEC Registered,Bond - Corporate Bond,Note,Senior,Financial Services,,,,,NA,4.421,7.49,9.37,2033-05-13,8.19," 2,484,977 ",A,5.0941,,,,MA,US,USD,DEV,Commercial Banking,Credit Intermediation and Related Activities,,,,,No,NA,,,,,,857477BU6,US857477BU67,454051602,bucket_21_50
Goldman Sachs Capital I 6.345%,20180630,Conduit Financing Vehicle,0.23,103.15,97.65,106.16,117.88,137.83,held_directly,165,73,36,Goldman Sachs Capital I,,,,," $2,166,176.60 ",,2004-02-20,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,7.74,11.13,2034-02-15,7.75," 2,099,964 ",BBB,6.1275,,,,DE,US,USD,DEV,All Other Nondepository Credit Intermediation,Credit Intermediation and Related Activities,,,,,NA,NA,,,,,,38143VAA7,US38143VAA70,9504903,bucket_21_50
Ameren Corporation 1.95%,20211231,Corporation,0.09,88.12,86.71,89.74,93.81,100.49,held_directly,155,66,36,Ameren Corporation,,,,," $872,411.59 ",,2021-11-18,SEC Registered,Bond - Corporate Bond,,,Utilities,,,,,NA,,3.90,4.21,2027-03-15,3.95," 990,010 ",BBB,5.1645,,,,MO,US,USD,DEV,Other Electric Power Generation,Utilities,,,,,NA,NA,,,,,,023608AL6,US023608AL60,419099275,bucket_21_50
Advance Auto Parts Inc. 3.9%,20200930,Corporation,0.52,87.87,85.97,91.03,99.82,109.35,held_directly,156,58,37,Advance Auto Parts Inc.," $499,865,000 "," $2,199,865,000 "," $439,973,000 ", $5 ," $4,920,772.21 ",1.12,2020-07-29,SEC Registered,Bond - Corporate Bond,Note,Senior,Consumer Cyclical,,,,,NA,3.9,6.08,7.29,2030-04-15,6.16," 5,599,949 ",BBB,6.0209,,,,VA,US,USD,DEV,Automotive Parts and Accessories Stores,Motor Vehicle and Parts Dealer,,,,,No,NA,,,,,,00751YAE6,US00751YAE68,315654727,bucket_21_50
Chevron USA Inc 1.018%,20220630,Corporation,0.52,85.92,83.75,87.31,91.01,96.65,held_directly,181,86,37,Chevron USA Inc,,,,," $4,953,125.79 ",,2020-08-12,SEC Registered,Bond - Corporate Bond,,,Consumer Cyclical,,,,,NA,,4.37,4.62,2027-08-12,4.41," 5,765,011 ",AA,4.4655,,,,PA,US,USD,DEV,Other Gasoline Stations,Gasoline Station,,,,,NA,NA,,,,,,166756AL0,US166756AL00,327946493,bucket_21_50
Kimco Realty Corporation 3.8%,20180630,REIT,0.17,93.56,92.63,96.63,101.26,108.3,held_directly,234,63,37,Kimco Realty Corporation,," $650,000,000 "," $325,000,000 ", $2 ," $1,618,530.68 ",,2017-03-30,SEC Registered,Bond - Corporate Bond,,,Real Estate,,,,,NA,,3.76,4.25,2027-04-01,3.85," 1,729,950 ",BBB,5.5622,,,,NY,US,USD,DEV,Lessors of Residential Buildings and Dwellings,Real Estate,,,,,NA,NA,,,,,,49446RAS8,US49446RAS85,125351140,bucket_21_50
JPMorgan Chase & Co. 8%,20180630,Corporation,0.10,111.5,109.63,113.95,120.58,129.61,held_directly,153,89,37,JPMorgan Chase & Co.,," $214,878,074,401 "," $147,784,095 "," $1,454 "," $970,039.95 ",0.17,1997-04-29,SEC Registered,Bond - Corporate Bond,Debenture - Unsecured,Subordinated,Financial Services,,,,,NA,8,3.63,4.33,2027-04-29,3.69," 869,967 ",A,5.0545,,,,DE,US,USD,DEV,Commercial Banking,Credit Intermediation and Related Activities,,,,,No,NA,,,,,,059438AK7,US059438AK79,8981847,bucket_21_50
"Cox Communications, Inc. 3.35%",20180630,Corporation,0.19,93.63,92.18,95.75,99.56,106.31,held_directly,99,20,37,"Cox Communications, Inc.",," $5,950,000,000 "," $661,111,111 ", $9 ," $1,788,339.70 ",,2016-09-13,Exempt Issue,Bond - Corporate Bond,,,Communication Services,,,,,NA,,3.35,3.71,2026-09-15,3.42," 1,910,022 ",BBB,5.3035,,,,DE,US,USD,DEV,Cable and Other Subscription Programming,Broadcasting (except Internet),,,,,NA,NA,,,,,,224044CG0,US224044CG04,107647669,bucket_21_50
UDR Inc 2.95%,20180630,REIT,0.16,91.94,90.89,94.43,98,104.14,held_directly,177,71,37,UDR Inc,," $600,000,000 "," $300,000,000 ", $2 ," $1,470,952.92 ",,2016-08-23,SEC Registered,Bond - Corporate Bond,,,Real Estate,,,,,NA,,3.34,3.67,2026-09-01,3.40," 1,599,977 ",BBB,5.4485,,,,DC,US,USD,DEV,Lessors of Residential Buildings and Dwellings,Real Estate,,,,,NA,NA,,,,,,90265EAL4,US90265EAL48,36323065,bucket_21_50
Teledyne Technologies Inc 1.6%,20210331,Corporation,0.26,89.52,87.2,90.15,93.31,99.13,held_directly,140,70,37,Teledyne Technologies Inc,,,,," $2,484,130.99 ",,2021-03-22,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,3.08,3.25,2026-04-01,3.10," 2,774,978 ",BBB,5.1809,,,,DE,US,USD,DEV,Engineering Services,"Professional, Scientific, and Technical Services",,,,,NA,NA,,,,,,879360AC9,US879360AC98,369577641,bucket_21_50
